source,page number,language name (Glottolog 4.7),iso,language family (Glottolog 4.7),together adverb,comitative marker,type,comment,complete,derived
alekseev2012avar,,Avar,ava,Nakh-Daghestanian>Daghestanian>Avar-Andic-Tsezic>Avar,цадахъ,цадахъ,postposition,"""adverbial postposition"" 'together'. also quantifier (""зависимое наречие"") 'all, completely'",,
forker2013hinuq,,Hinuq,gin,Nakh-Daghestanian>Daghestanian>Avar-Andic-Tsezic>Tsezic>West-Tsezic,sadaq (cadaq),sadaq (cadaq),postposition,"loan from Avar. 1. postposition 'with' governing essive case 2. adjectival quantifier 'all, all together' 3. adverb 'together'",,
comrie2015bezhta,,Bezhta,kap,Nakh-Daghestanian>Daghestanian>Avar-Andic-Tsezic>Tsezic>East-Tsezic,къацІо,къацІо,postposition,"1. postposition 'together (with'), governs cumessive case 2. adverb 'together' possibly related to word 'all'?? (unclear). also forms part of the verb 'gather'",,
polinsky2015tsez,,Tsez,ddo,Nakh-Daghestanian>Daghestanian>Avar-Andic-Tsezic>Tsezic>West-Tsezic,sadaq,sadaq,postposition,"possibly related to sadaqaw 'equal'. syntactic language internal evidence that it is NOT a postposition, even in the 'with' sense, i.e. can be separated from noun, unlike postpositions.",,
bokarev1949chamalal,,Chamalal,cji,Nakh-Daghestanian>Daghestanian>Avar-Andic-Tsezic>Andic,сан,,,,incomplete,
kibrik2001bagvalal,,Bagvalal,kva,Nakh-Daghestanian>Daghestanian>Avar-Andic-Tsezic>Andic,sani,sani,postposition,"functions as наречие and наречие-послелог (the grammar distinguishes adverbs, adverbs-prepositions and prepositions)",,
magomedbekova1971karata-tukita,"158, 171",Karata-Tukita,kpt,Nakh-Daghestanian>Daghestanian>Avar-Andic-Tsezic>Andic,saru,-kel,postposition,saru 'рядом; вместе',different,
godoberi1973saidova,"143, 145",Godoberi,gdo,Nakh-Daghestanian>Daghestanian>Avar-Andic-Tsezic>Andic,сану,сану,postposition,"""adverbial postposition"", governs dative case",,
"akhmedova1019dargwa, abdullaev1954dargwa","abdullaev: 206, akhmedova: 101",North-Central Dargwa,dar,Nakh-Daghestanian>Dargwic,,барх,postposition,unclear distinction between postpositions and adverbs,incomplete,
forker2019dargwa,"73, 157, 158",Southwestern Dargwa,,Nakh-Daghestanian>Dargwic,"b-alli, canille","b-alli, canille",postposition,"postpositions and adverbs are close in the langage. postpositions always govern a nominal, which can be used as a diagnostic. comitative: b-alli (optional) + COM (IN-ablative for younger speakers) OR canille + COM",,
